rank,cancer,conv_type,fusion,lr,mixup_alpha,n_splits,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,any_low_n_warn
1,BRCA,gat,cross,1e-3,0.1,5,0.8014800000000001,0.028372028478767592,0.76888,0.027870540001944683,0.8108600000000001,0.025344190655848527,False
2,BRCA,gat,cross,1e-3,0.2,5,0.79704,0.02798335219375973,0.76536,0.02292461559110643,0.80676,0.02503693271948464,False
3,BRCA,gat,attn,5e-4,0.0,5,0.8074,0.01046518036156093,0.76508,0.01589849049438342,0.8143800000000001,0.01014652649925085,False
4,BRCA,gcn,attn,1e-3,0.0,5,0.8148,0.01654690303349845,0.7642,0.015742617317333202,0.82128,0.01640356668532792,False
5,BRCA,gat,attn,1e-3,0.2,5,0.79408,0.019154425076206308,0.76386,0.018949617410385883,0.8036,0.017282216293056808,False
6,BRCA,gcn,cross,1e-3,0.0,5,0.8074,0.02817836049169644,0.76274,0.031552385012863934,0.81504,0.025529061870738577,False
7,BRCA,gcn,attn,5e-4,0.0,5,0.81036,0.022566967009325794,0.7608,0.01552852214475029,0.81846,0.021572737424814678,False
8,BRCA,gat,cross,5e-4,0.0,5,0.8,0.032255852182200964,0.76056,0.02865506935953915,0.80856,0.030538794999148227,False
9,BRCA,gat,attn,1e-3,0.1,5,0.79112,0.020534166649757154,0.76038,0.018936393532032483,0.80116,0.01764264719366116,False
10,BRCA,gat,attn,5e-4,0.1,5,0.79262,0.03475171938192408,0.76034,0.03007628633990569,0.8035399999999999,0.03233624900943211,False
11,BRCA,gat,attn,1e-3,0.0,5,0.8,0.013844132331063557,0.75998,0.01620700465848019,0.80654,0.013207119292260518,False
12,BRCA,gat,cross,1e-3,0.0,5,0.8014800000000001,0.029321186879115245,0.75932,0.02267657381528345,0.80966,0.026618658869296923,False
13,BRCA,gat,attn,5e-4,0.2,5,0.7881400000000001,0.034978822164275315,0.75484,0.028388254613484078,0.79942,0.03215115861053842,False
14,BRCA,gcn,cross,5e-4,0.0,5,0.8,0.027189336144893255,0.75454,0.04158765441810825,0.80888,0.025383006126146693,False
15,BRCA,gat,cross,5e-4,0.1,5,0.7867,0.03755782208808172,0.75398,0.040211652540028744,0.7983800000000001,0.034404752578677256,False
16,BRCA,gcn,attn,5e-4,0.2,5,0.7852,0.020930360723121776,0.7535000000000001,0.02305569344001605,0.7967,0.018161084769363334,False
17,BRCA,gcn,attn,1e-3,0.1,5,0.7852,0.019578559701877937,0.7531,0.020050561089405984,0.79566,0.017267976140822042,False
18,BRCA,gcn,attn,5e-4,0.1,5,0.7852,0.02157452201092759,0.7528,0.02049280361492784,0.79624,0.01835791382483314,False
19,BRCA,gcn,attn,1e-3,0.2,5,0.7852,0.015697770542341373,0.75162,0.007250999931043964,0.7957799999999999,0.014251736736271822,False
20,BRCA,gcn,cross,1e-3,0.1,5,0.78816,0.021319193230514125,0.74996,0.019666163835379773,0.79954,0.020155594756791496,False
21,BRCA,gat,cross,5e-4,0.2,5,0.7792600000000001,0.036803505267840986,0.74742,0.03120980615127238,0.79236,0.03437801623130689,False
22,BRCA,gcn,cross,1e-3,0.2,5,0.7837,0.026925452642434816,0.74678,0.027101420626970806,0.7958000000000001,0.02465856849048623,False
23,BRCA,gcn,cross,5e-4,0.1,5,0.7748200000000001,0.021990725317733405,0.7380800000000001,0.017255202114145184,0.78792,0.019442144943395516,False
24,BRCA,gcn,cross,5e-4,0.2,5,0.77482,0.02435389085957315,0.7380800000000001,0.018725170226195548,0.78792,0.022505932551218577,False
25,BRCA,gat,attn,1e-4,0.0,5,0.7763,0.04035950941228102,0.73626,0.03984824964788289,0.78584,0.03932903507588255,False
26,BRCA,gcn,attn,1e-4,0.0,5,0.7763,0.01846401906411493,0.7320800000000001,0.01702783016123901,0.78796,0.017133534369767375,False
27,BRCA,gcn,attn,1e-4,0.1,5,0.76002,0.027534196919467284,0.7216400000000001,0.023030154146249173,0.77508,0.024655465925429176,False
28,BRCA,gat,cross,1e-4,0.0,5,0.7674,0.03255618220860672,0.7194,0.03485821280559289,0.77916,0.0313725676347984,False
29,BRCA,gcn,attn,1e-4,0.2,5,0.7555799999999999,0.03354909834853985,0.71672,0.030386213979368987,0.77078,0.03035452190366371,False
30,BRCA,gat,attn,1e-4,0.1,5,0.75408,0.032468554017695356,0.7135,0.024821966078455625,0.76866,0.031649217999817944,False
31,BRCA,gat,attn,1e-4,0.2,5,0.75408,0.032468554017695356,0.7118,0.0255135258245504,0.76944,0.03126240553764215,False
32,BRCA,gcn,cross,1e-4,0.0,5,0.7525999999999999,0.04400914677655089,0.7052400000000001,0.040450500614949106,0.76612,0.04137000120860521,False
33,BRCA,gat,cross,1e-4,0.2,5,0.74222,0.031183922139461577,0.70014,0.02294085874591449,0.7564,0.029670187057044314,False
34,BRCA,gat,cross,1e-4,0.1,5,0.73776,0.02651278936664345,0.69402,0.030639631198824808,0.75204,0.0246517342189145,False
35,BRCA,gcn,cross,1e-4,0.1,5,0.73036,0.0303578325972063,0.68268,0.03446849285942165,0.7487199999999999,0.029361743817423396,False
36,BRCA,gcn,cross,1e-4,0.2,5,0.72592,0.039180760584756405,0.68032,0.038766828603846386,0.7444,0.03802880487209662,False
